Feature Name,Importance Score
avg_watch_time_minutes,0.09170815279376524
recommendation_click_rate,0.08473871119336211
completion_rate,0.08122830808588324
days_since_last_login,0.0792096153789516
account_age_months,0.07919194897645013
rating_given,0.0760891225061263
content_interactions,0.07608332280806088
age,0.07503727749402353
watch_sessions_per_week,0.061350338012331244
binge_watch_sessions,0.05721629442714696
country,0.04857743567488454
favorite_genre,0.0433734873536281
payment_method,0.029117513843311005
primary_device,0.02847673407694197
gender,0.0231054436441793
devices_used,0.022528254292903043
monthly_fee,0.02202822250296012
subscription_type,0.020939816935090578
